method,p,n,ratio,trial,std,lower,upper,theta,width
PPI,20,2,0.1,21,0.5,0.7080747291094678,0.7080747291096907,-2.178498406883067,2.2293278334473143e-13
PPI,20,2,0.1,22,0.5,7.527743471128843,7.527743471129024,-2.178498406883067,1.8118839761882555e-13
PPI,20,2,0.1,23,0.5,-6.34554438231083,-6.345544382310555,-2.178498406883067,2.753353101070388e-13
PPI,20,2,0.1,24,0.5,-0.30055585243934024,-0.30055122363499664,-2.178498406883067,4.628804343598247e-06
PPI,20,2,0.1,25,0.5,0.10058905406986589,0.1005890540702928,-2.178498406883067,4.269085085439883e-13
PPI,20,2,0.1,26,0.5,-18.591824242924822,-18.591804124750134,-2.178498406883067,2.011817468883237e-05
PPI,20,2,0.1,27,0.5,1.8635738870910534,1.863573887092908,-2.178498406883067,1.8545165403338615e-12
PPI,20,2,0.1,28,0.5,-0.5646809976675518,-0.564680591303097,-2.178498406883067,4.063644547525058e-07
PPI,20,2,0.1,29,0.5,,,-2.178498406883067,
PPI,20,2,0.1,0,2.0,8.324774540124729,8.32480111003354,-2.178498406883067,2.6569908811779896e-05
PPI,20,2,0.1,1,2.0,-3.931120819830416,-3.9309195470653258,-2.178498406883067,0.000201272765090188
PPI,20,2,0.1,2,2.0,1.7505496472389048,1.7505496472394417,-2.178498406883067,5.369038547087257e-13
PPI,20,2,0.1,3,2.0,10.005947369432224,10.005947369432793,-2.178498406883067,5.684341886080801e-13
PPI,20,2,0.1,4,2.0,-0.7733113228101444,-0.7732938102512997,-2.178498406883067,1.751255884463454e-05
PPI,20,2,0.1,5,2.0,-3.6318494630631784,-3.6318494630629963,-2.178498406883067,1.8207657603852567e-13
PPI,20,2,0.1,6,2.0,0.5849808762220937,0.5849808762224108,-2.178498406883067,3.170796958329447e-13
PPI,20,2,0.1,7,2.0,12.781540899821705,12.78154089982189,-2.178498406883067,1.8474111129762605e-13
PPI,20,2,0.1,8,2.0,3.577270779614378,3.577270779615076,-2.178498406883067,6.981082378842984e-13
PPI,20,2,0.1,9,2.0,-14.94485730047733,-14.944840987122983,-2.178498406883067,1.6313354347374798e-05
PPI,20,2,0.1,10,2.0,,,-2.178498406883067,
PPI,20,2,0.1,11,2.0,,,-2.178498406883067,
PPI,20,2,0.1,12,2.0,-11.780880838200245,-11.780880838199346,-2.178498406883067,8.988365607365267e-13
PPI,20,2,0.1,13,2.0,7.435314297549236,7.435428306955219,-2.178498406883067,0.00011400940598349507
PPI,20,2,0.1,14,2.0,4.732333240761201,4.732333240761359,-2.178498406883067,1.580957587066223e-13
PPI,20,2,0.1,15,2.0,22.47918709171133,22.479187091712028,-2.178498406883067,6.963318810448982e-13
PPI,20,2,0.1,16,2.0,18.553656534603288,18.553700443954536,-2.178498406883067,4.390935124831685e-05
PPI,20,2,0.1,17,2.0,,,-2.178498406883067,
PPI,20,2,0.1,18,2.0,6.547233386294967,6.5472375957569104,-2.178498406883067,4.209461943460724e-06
PPI,20,2,0.1,19,2.0,7.603780116052568,7.60378011605273,-2.178498406883067,1.616484723854228e-13
PPI,20,2,0.1,20,2.0,9.292128258256783,9.292128258258453,-2.178498406883067,1.6697754290362354e-12
PPI,20,2,0.1,21,2.0,6.151660891269771,6.151660891269932,-2.178498406883067,1.616484723854228e-13
PPI,20,2,0.1,22,2.0,,,-2.178498406883067,
PPI,20,2,0.1,23,2.0,-1.977572693307646,-1.9775634569270248,-2.178498406883067,9.236380621224782e-06
PPI,20,2,0.1,24,2.0,2.8422761316173095,2.8422761316177785,-2.178498406883067,4.689582056016661e-13
PPI,20,2,0.1,25,2.0,9.083956211807298,9.083956211808445,-2.178498406883067,1.1475265182525618e-12
PPI,20,2,0.1,26,2.0,8.470104119321462,8.47016123407387,-2.178498406883067,5.711475240843811e-05
PPI,20,2,0.1,27,2.0,,,-2.178498406883067,
PPI,20,2,0.1,28,2.0,19.50800858498543,19.508008584985912,-2.178498406883067,4.831690603168681e-13
PPI,20,2,0.1,29,2.0,,,-2.178498406883067,
PPI,20,2,0.1,0,5.0,12.092048904224724,12.092048904225036,-2.178498406883067,3.126388037344441e-13
PPI,20,2,0.1,1,5.0,5.683824141480581,5.683849998917748,-2.178498406883067,2.5857437167431385e-05
PPI,20,2,0.1,2,5.0,-5.642704673925922,-5.64270352974749,-2.178498406883067,1.144178431999876e-06
PPI,20,2,0.1,3,5.0,5.029776792574026,5.029776792575511,-2.178498406883067,1.4850343177386094e-12
PPI,20,2,0.1,4,5.0,-16.394747560398656,-16.394747560397676,-2.178498406883067,9.805489753489383e-13
PPI,20,2,0.1,5,5.0,12.293839327383212,12.293839327384132,-2.178498406883067,9.201528428093297e-13
PPI,20,2,0.1,6,5.0,,,-2.178498406883067,
PPI,20,2,0.1,7,5.0,9.483098728685091,9.483098728687226,-2.178498406883067,2.135180920959101e-12
PPI,20,2,0.1,8,5.0,,,-2.178498406883067,
PPI,20,2,0.1,9,5.0,,,-2.178498406883067,
PPI,20,2,0.1,10,5.0,,,-2.178498406883067,
PPI,20,2,0.1,11,5.0,18.97816593156487,18.97819606911182,-2.178498406883067,3.013754695047055e-05
PPI,20,2,0.1,12,5.0,,,-2.178498406883067,
PPI,20,2,0.1,13,5.0,51.185685479224325,51.18575055387169,-2.178498406883067,6.507464736671409e-05
PPI,20,2,0.1,14,5.0,,,-2.178498406883067,
PPI,20,2,0.1,15,5.0,4.226431382326457,4.226459270440645,-2.178498406883067,2.7888114187746282e-05
PPI,20,2,0.1,16,5.0,20.3566582033239,20.356658203323992,-2.178498406883067,9.237055564881302e-14
PPI,20,2,0.1,17,5.0,,,-2.178498406883067,
PPI,20,2,0.1,18,5.0,5.997440061127,5.9974400611282,-2.178498406883067,1.2008172234345693e-12
PPI,20,2,0.1,19,5.0,-9.817350799527437,-9.817329645238958,-2.178498406883067,2.1154288479152683e-05
PPI,20,2,0.1,20,5.0,,,-2.178498406883067,
PPI,20,2,0.1,21,5.0,4.98444191543269,4.984458704536619,-2.178498406883067,1.6789103929326643e-05
PPI,20,2,0.1,22,5.0,2.7420462407356685,2.742046240735743,-2.178498406883067,7.460698725481052e-14
PPI,20,2,0.1,23,5.0,-1.3896429886923338,-1.389642567184884,-2.178498406883067,4.2150744983260324e-07
PPI,20,2,0.1,24,5.0,-6.891813624180327,-6.891778559854186,-2.178498406883067,3.506432614130972e-05
PPI,20,2,0.1,25,5.0,-2.8165090493414233,-2.8165090493410663,-2.178498406883067,3.5704772471945034e-13
PPI,20,2,0.1,26,5.0,3.9929279291739843,3.9929279291742916,-2.178498406883067,3.0730973321624333e-13
PPI,20,2,0.1,27,5.0,6.00085525317523,6.0008552531754695,-2.178498406883067,2.398081733190338e-13
PPI,20,2,0.1,28,5.0,1.5017150089706808,1.5017150089711,-2.178498406883067,4.192202140984591e-13
PPI,20,2,0.1,29,5.0,,,-2.178498406883067,
PPI,20,2,0.1,0,10.0,-6.757081405114336,-6.75707326890474,-2.178498406883067,8.13620959583261e-06
PPI,20,2,0.1,1,10.0,,,-2.178498406883067,
PPI,20,2,0.1,2,10.0,,,-2.178498406883067,
PPI,20,2,0.1,3,10.0,11.40833457865795,11.408334578658753,-2.178498406883067,8.029132914089132e-13
PPI,20,2,0.1,4,10.0,-9.093630046257285,-9.09363004625687,-2.178498406883067,4.156675004196586e-13
PPI,20,2,0.1,5,10.0,,,-2.178498406883067,
PPI,20,2,0.1,6,10.0,-26.438573274829004,-26.438573274827,-2.178498406883067,2.0037305148434825e-12
PPI,20,2,0.1,7,10.0,4.9665431082234734,4.96655936129049,-2.178498406883067,1.6253067016691602e-05
PPI,20,2,0.1,8,10.0,12.28612897444731,12.286128974448067,-2.178498406883067,7.567280135845067e-13
PPI,20,2,0.1,9,10.0,,,-2.178498406883067,
PPI,20,2,0.1,10,10.0,,,-2.178498406883067,
PPI,20,2,0.1,11,10.0,9.606009642827374,9.606009642828106,-2.178498406883067,7.318590178329032e-13
PPI,20,2,0.1,12,10.0,,,-2.178498406883067,
PPI,20,2,0.1,13,10.0,6.695917643795618,6.695917643795815,-2.178498406883067,1.971756091734278e-13
PPI,20,2,0.1,14,10.0,-6.078917674730164,-6.078884000794732,-2.178498406883067,3.3673935432076973e-05
PPI,20,2,0.1,15,10.0,7.0943523271067574,7.094352327107331,-2.178498406883067,5.737632591262809e-13
PPI,20,2,0.1,16,10.0,9.601204345533775,9.601204345534397,-2.178498406883067,6.217248937900877e-13
PPI,20,2,0.1,17,10.0,20.78965014396433,20.789650143965297,-2.178498406883067,9.663381206337363e-13
PPI,20,2,0.1,18,10.0,10.514185390474783,10.514185390475529,-2.178498406883067,7.460698725481052e-13
PPI,20,2,0.1,19,10.0,11.564283457005569,11.56428345700579,-2.178498406883067,2.2026824808563106e-13
PPI,20,2,0.1,20,10.0,27.23440674603987,27.23461438106818,-2.178498406883067,0.0002076350283104489
