method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
Tuned PPI,2000,0.496509084522831,0.5035283636883768,7,0.0,0.1,True,1.378092716993872e-06,0.010314944342788821,0.007019279165545844
Classical,2000,0.4963535390827572,0.503748006838686,7,0.0,0.1,True,1.3789091249645595e-06,,0.007394467755928835
PPI,2000,0.49451386371059747,0.5048383741452098,8,0.0,0.1,True,4.9613804259753585e-06,,0.010324510434612355
Tuned PPI,2000,0.49734803460309324,0.5046443603620548,8,0.0,0.1,True,9.440150443289345e-07,0.004368884747798781,0.007296325758961608
Classical,2000,0.4972934010668795,0.5047105790546083,8,0.0,0.1,True,9.407664958499099e-07,,0.007417177987728729
PPI,2000,0.4964464889047249,0.5069450975478752,9,0.0,0.1,True,4.2979829049081515e-06,,0.010498608643150276
Tuned PPI,2000,0.4975269604737386,0.5049185912227525,9,0.0,0.1,True,3.7170989803444532e-06,0.001892456202791744,0.007391630749013889
Classical,2000,0.4974734669649285,0.504970291007677,9,0.0,0.1,True,3.7162120660307024e-06,,0.0074968240427484845
PPI,3000,0.49753676341374886,0.5058550381237734,0,0.0,0.1,True,1.6451794197227596e-06,,0.008318274710024554
Tuned PPI,3000,0.49967986317124125,0.5054546596239066,0,0.0,0.1,True,7.068530360491375e-06,0.04341582943262719,0.005774796452665321
Classical,3000,0.49969824124827,0.5055153772409082,0,0.0,0.1,True,7.437645959080596e-06,,0.005817135992638223
PPI,3000,0.49411073007741213,0.5029045797387888,1,0.0,0.1,True,2.8784545707001987e-06,,0.00879384966137664
Tuned PPI,3000,0.4960048198861955,0.5021597548308753,1,0.0,0.1,True,2.312873028047128e-06,0.016383059664868985,0.00615493494467978
Classical,3000,0.4961124680718827,0.5020712487264898,1,0.0,0.1,True,2.3062857346021625e-06,,0.005958780654607088
PPI,3000,0.49739700036489515,0.5060612995045193,2,0.0,0.1,True,2.43813694868144e-06,,0.008664299139624132
Tuned PPI,3000,0.49797197488763173,0.5038855319373985,2,0.0,0.1,True,8.081423447724339e-07,0.0,0.00591355704976676
Classical,3000,0.49797246772512577,0.5038850390999045,2,0.0,0.1,True,8.081423447724339e-07,,0.005912571374778686
PPI,3000,0.4956196823926369,0.5040971212797377,3,0.0,0.1,True,5.692762762555028e-07,,0.008477438887100841
Tuned PPI,3000,0.4982866894787286,0.5040790517148784,3,0.0,0.1,True,9.528321466298043e-07,0.01621120358882424,0.005792362236149817
Classical,3000,0.4982384080328196,0.5041709832466675,3,0.0,0.1,True,9.748461066051942e-07,,0.005932575213847935
PPI,3000,0.4963655720549439,0.5048065701757424,4,0.0,0.1,True,3.1917602737766143e-06,,0.00844099812079846
