method,p,n,trial,std,lam,theta,error,error_max,error_min
PPI,100,100,12,1.0,1.0,0.013463927799323268,24.510462327775734,168.84952968222353,0.01268513376978
Classical,100,100,12,1.0,,0.013463927799323268,24.510462327775357,168.84952968222117,0.01268513376978065
PPI,100,100,13,1.0,1.0,0.013463927799323268,12.379264776292235,72.4099643841755,0.003633509906736553
Classical,100,100,13,1.0,,0.013463927799323268,12.379264776292121,72.40996438417488,0.003633509906737189
PPI,100,100,14,1.0,1.0,0.013463927799323268,13.995526227644422,92.36809299546395,0.0022621389468239
Classical,100,100,14,1.0,,0.013463927799323268,13.995526227644314,92.36809299546334,0.0022621389468240874
PPI,100,100,15,1.0,1.0,0.013463927799323268,3.910477762990771,32.21551272091025,4.866208416707294e-05
Classical,100,100,15,1.0,,0.013463927799323268,3.910477762990802,32.21551272091042,4.8662084167141866e-05
PPI,100,100,16,1.0,1.0,0.013463927799323268,24.260843848987758,240.85642779134403,0.00022195017367892468
Classical,100,100,16,1.0,,0.013463927799323268,24.260843848987903,240.85642779134525,0.00022195017367892137
PPI,100,100,17,1.0,1.0,0.013463927799323268,3.617135431665963,17.282072661162506,0.00010508169047641391
Classical,100,100,17,1.0,,0.013463927799323268,3.6171354316659516,17.282072661162506,0.00010508169047615897
PPI,100,100,18,1.0,1.0,0.013463927799323268,37.14651641576941,279.1049086467487,0.0015442758639867481
Classical,100,100,18,1.0,,0.013463927799323268,37.14651641576892,279.1049086467448,0.0015442758639851075
PPI,100,100,19,1.0,1.0,0.013463927799323268,2.4653542349225073,17.549944814216204,0.001114711343187545
Classical,100,100,19,1.0,,0.013463927799323268,2.4653542349224953,17.549944814216172,0.0011147113431877564
PPI,100,100,20,1.0,1.0,0.013463927799323268,121.10483926319115,1142.836334177534,0.0003340726107718292
Classical,100,100,20,1.0,,0.013463927799323268,121.10483926318739,1142.8363341774939,0.00033407261077186877
PPI,100,100,21,1.0,1.0,0.013463927799323268,0.8473793786805992,6.384624348780301,0.0009632473785691406
Classical,100,100,21,1.0,,0.013463927799323268,0.8473793786805883,6.38462434878022,0.0009632473785694025
PPI,100,100,22,1.0,1.0,0.013463927799323268,0.5201583062484906,4.891537541521946,6.507367566773364e-06
Classical,100,100,22,1.0,,0.013463927799323268,0.520158306248481,4.89153754152185,6.5073675667920555e-06
PPI,100,100,23,1.0,1.0,0.013463927799323268,1.9355070879012721,10.887928503970782,0.0001130381700607605
Classical,100,100,23,1.0,,0.013463927799323268,1.9355070879012504,10.8879285039706,0.00011303817006076523
PPI,100,100,24,1.0,1.0,0.013463927799323268,30.362150732761023,184.18115188125344,0.004469988404470104
Classical,100,100,24,1.0,,0.013463927799323268,30.362150732760938,184.18115188125265,0.004469988404469763
PPI,100,100,25,1.0,1.0,0.013463927799323268,10.498089314399099,77.44292099711058,9.397141172022178e-05
Classical,100,100,25,1.0,,0.013463927799323268,10.498089314399142,77.4429209971105,9.397141172021102e-05
PPI,100,100,26,1.0,1.0,0.013463927799323268,2.137656104420109,17.31645238956636,0.0005108499171843038
Classical,100,100,26,1.0,,0.013463927799323268,2.1376561044201714,17.31645238956691,0.0005108499171842473
PPI,100,100,27,1.0,1.0,0.013463927799323268,729.4078750057421,4100.611047740227,0.02093216832200782
Classical,100,100,27,1.0,,0.013463927799323268,729.407875005738,4100.611047740205,0.02093216832200684
PPI,100,100,28,1.0,1.0,0.013463927799323268,1.1049819517595234,8.950308633683836,0.0011154326083398542
Classical,100,100,28,1.0,,0.013463927799323268,1.1049819517595112,8.950308633683713,0.0011154326083398672
PPI,100,100,29,1.0,1.0,0.013463927799323268,4.077334374805622,39.9764148935366,0.00018849983706768287
Classical,100,100,29,1.0,,0.013463927799323268,4.077334374805576,39.976414893536244,0.00018849983706759445
PPI,200,100,0,1.0,1.0,-0.04564845332466769,0.004059774613664745,0.030246737302391254,3.2607336768458504e-07
Classical,200,100,0,1.0,,-0.04564845332466769,0.17756587937859994,1.5351577714417286,3.778071781143029e-09
PPI,200,100,1,1.0,1.0,-0.04564845332466769,0.0052601802681027056,0.052824735110119925,1.2838047197797326e-07
Classical,200,100,1,1.0,,-0.04564845332466769,0.17277845108232065,1.3832900232090743,6.482231344535186e-07
PPI,200,100,2,1.0,1.0,-0.04564845332466769,0.005573285193428748,0.0820807636208296,1.064368813426529e-06
Classical,200,100,2,1.0,,-0.04564845332466769,0.19041972646818614,1.7384781111871161,4.036438965959884e-09
PPI,200,100,3,1.0,1.0,-0.04564845332466769,0.004963961566784977,0.0780528378412758,3.1414074531609706e-08
Classical,200,100,3,1.0,,-0.04564845332466769,0.18640356773058567,1.1269893608921302,7.237733762250004e-06
PPI,200,100,4,1.0,1.0,-0.04564845332466769,0.006685765939774484,0.05177534105568876,9.038429905779332e-08
Classical,200,100,4,1.0,,-0.04564845332466769,0.16006587938651223,1.5075452369135736,1.3556684238007506e-06
PPI,200,100,5,1.0,1.0,-0.04564845332466769,0.005711386479254659,0.053829441455376034,8.984694192729623e-07
Classical,200,100,5,1.0,,-0.04564845332466769,0.17554422731328775,1.122557925468315,5.041191141123861e-06
PPI,200,100,6,1.0,1.0,-0.04564845332466769,0.005094322425000782,0.03896151733097069,2.7376851581250327e-08
Classical,200,100,6,1.0,,-0.04564845332466769,0.14493291125636823,0.840765863458975,5.966943097159197e-07
PPI,200,100,7,1.0,1.0,-0.04564845332466769,0.004633874693564127,0.043334020257991525,6.954343786524803e-07
