method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
Classical,2000,0.49529624006974776,0.502683825542133,9,0.0,0.1,True,9.983452697043986e-07,,0.007387585472385216
PPI,3000,0.49704108778876827,0.5059013515144631,0,0.0,0.1,True,1.8164132011555788e-06,,0.008860263725694872
Tuned PPI,3000,0.49876320216804426,0.5047841424077436,0,0.0,0.1,True,2.290367673128464e-06,0.0,0.006020940239699346
Classical,3000,0.4987637039548833,0.5047836406209045,0,0.0,0.1,True,2.290367673128464e-06,,0.006019936666021242
PPI,3000,0.4922050589470393,0.5008386955889647,1,0.0,0.1,True,1.3467548387223562e-05,,0.008633636641925346
Tuned PPI,3000,0.49425456870479745,0.5002439313712472,1,0.0,0.1,True,4.450054514585957e-06,0.0,0.005989362666449782
Classical,3000,0.4942550678599527,0.5002434322160919,1,0.0,0.1,True,4.450054514585957e-06,,0.0059883643561391975
PPI,3000,0.49569955526363174,0.5043426446454288,2,0.0,0.1,True,4.158969249327945e-06,,0.008643089381797031
Tuned PPI,3000,0.4976078686042893,0.5037060995944171,2,0.0,0.1,True,4.398649961995631e-06,0.008796770508230438,0.006098230990127851
Classical,3000,0.497623483413396,0.5037017715259614,2,0.0,0.1,True,4.4025875901833946e-06,,0.006078288112565389
PPI,3000,0.494141416086977,0.5023502984987243,3,0.0,0.1,True,5.2036276701671825e-06,,0.008208882411747276
Tuned PPI,3000,0.49507768679323017,0.5008534774765113,3,0.0,0.1,True,3.2324602737840062e-06,0.013607014192427365,0.005775790683281157
Classical,3000,0.4950554161962345,0.5008680154393389,3,0.0,0.1,True,3.2155921771646633e-06,,0.005812599243104399
PPI,3000,0.4966713000709841,0.5057828453517927,4,0.0,0.1,True,7.569506538339111e-07,,0.009111545280808653
Tuned PPI,3000,0.49715381470028197,0.5032087192745788,4,0.0,0.1,True,4.787271212327686e-07,0.0,0.006054904574296804
Classical,3000,0.49715431931771814,0.5032082146571426,4,0.0,0.1,True,4.787271212327686e-07,,0.006053895339424464
