method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
Classical,2000,-0.1781270847610969,0.5338102191939071,3,0.0,0.1,True,0.07234242291217854,,0.7119373039550041
PPI,2000,0.44419144273933675,0.5487434643954034,4,0.0,0.1,True,0.0007956793779310039,,0.1045520216560667
Tuned PPI,2000,0.4478773517732145,0.5512148848041746,4,0.0,0.1,True,0.0006564401088474761,0.9788126972135859,0.10333753303096005
Classical,2000,0.2731241420030862,1.0104248892945846,4,0.0,0.1,True,0.017945217150600018,,0.7373007472914984
PPI,2000,0.4545811533672943,0.5591393446107373,5,0.0,0.1,True,0.0007331159651834063,,0.10455819124344301
Tuned PPI,2000,0.44163211067206093,0.5475198653197393,5,0.0,0.1,True,0.0010133404217353879,0.9480676150541472,0.10588775464767836
Classical,2000,-0.11029602910336234,0.6509298007188891,5,0.0,0.1,True,0.041311546700741435,,0.7612258298222514
PPI,2000,0.4524076699945227,0.556945916642989,6,0.0,0.1,True,0.0007027000415885242,,0.10453824664846628
Tuned PPI,2000,0.43891457697745306,0.5448697103693024,6,0.0,0.1,True,0.0005180249338617313,0.9499443104042478,0.10595513339184937
Classical,2000,-0.11396866231515107,0.6125052070289019,6,0.0,0.1,True,0.034926752456157756,,0.7264738693440529
PPI,2000,0.46035466264304126,0.5648998434068484,7,0.0,0.1,True,0.0007485044175020593,,0.10454518076380714
Tuned PPI,2000,0.44285474858541135,0.547050110441781,7,0.0,0.1,True,0.0008333551400441263,0.9626338925829923,0.10419536185636963
Classical,2000,-0.3156051195772326,0.3948245830096596,7,0.0,0.1,False,0.11606172023135436,,0.7104297025868922
PPI,2000,0.44191801799927555,0.5464535738515578,8,0.0,0.1,True,0.0005495689474926966,,0.10453555585228225
Tuned PPI,2000,0.44191801799927555,0.5464535738515578,8,0.0,0.1,True,0.0005495689474926966,1.0,0.10453555585228225
Classical,2000,0.4070679805017691,1.16014626511536,8,0.0,0.1,True,0.06440012638333754,,0.7530782846135908
PPI,2000,0.4374551957545377,0.5418949976530696,9,0.0,0.1,True,0.0007650897089490881,,0.10443980189853191
Tuned PPI,2000,0.4374551957545377,0.5418949976530696,9,0.0,0.1,True,0.0007650897089490881,1.0,0.10443980189853191
Classical,2000,0.610372677379617,1.372570504982725,9,0.0,0.1,False,0.12094589062494093,,0.7621978276031081
PPI,3000,0.45229011717059153,0.5572737795419174,0,0.0,0.1,True,0.0009945639887752552,,0.10498366237132584
Tuned PPI,3000,0.448553281495188,0.5519652599443765,0,0.0,0.1,True,0.0006622619467315758,0.9633677613140514,0.10341197844918848
Classical,3000,0.07656634095983283,0.6860742008769025,0,0.0,0.1,True,0.021948962472222205,,0.6095078599170697
PPI,3000,0.4539435941437308,0.5588821064006478,1,0.0,0.1,True,0.0004944239968507524,,0.10493851225691703
Tuned PPI,3000,0.44443080064201107,0.5480658641667012,1,0.0,0.1,True,0.0006114241058555886,0.9605749293475346,0.10363506352469015
Classical,3000,-0.04450146111155329,0.5416898933078773,1,0.0,0.1,True,0.04028732268986522,,0.5861913544194306
PPI,3000,0.44983075636543435,0.5547150904597175,2,0.0,0.1,True,0.00031223247384955363,,0.1048843340942831
Tuned PPI,3000,0.44983075636543435,0.5547150904597175,2,0.0,0.1,True,0.00031223247384955363,1.0,0.1048843340942831
Classical,3000,0.18212133826289395,0.7745960520497124,2,0.0,0.1,True,0.0484023494958572,,0.5924747137868185
PPI,3000,0.43969676999463353,0.5447071809044814,3,0.0,0.1,True,0.000645708168220872,,0.10501041090984792
Tuned PPI,3000,0.4419142771886766,0.5462967272768824,3,0.0,0.1,True,0.0006721794726211204,0.9933066575471798,0.10438245008820579
Classical,3000,0.4813709042166644,1.0718151750852418,3,0.0,0.1,True,0.05839285483239838,,0.5904442708685774
PPI,3000,0.4485663742869968,0.55353997992909,4,0.0,0.1,True,0.0012204151381540647,,0.10497360564209318
Tuned PPI,3000,0.4485663742869968,0.55353997992909,4,0.0,0.1,True,0.0012204151381540647,1.0,0.10497360564209318
Classical,3000,0.22320731995927162,0.8089596060176383,4,0.0,0.1,True,0.03481232519050084,,0.5857522860583666
PPI,3000,0.4372367597466385,0.5422193091142276,5,0.0,0.1,True,0.00045511826234800727,,0.10498254936758905
Tuned PPI,3000,0.4431873569269152,0.5470598841795791,5,0.0,0.1,True,0.0005485571138021462,0.98635213656136,0.10387252725266388
Classical,3000,0.5835240843340894,1.1866178156200093,5,0.0,0.1,False,0.13550669283338213,,0.6030937312859199
PPI,3000,0.45039767707942635,0.5553483429324665,6,0.0,0.1,True,0.001263890892484578,,0.10495066585304014
Tuned PPI,3000,0.45139252439241245,0.5547511675848126,6,0.0,0.1,True,0.0006552978170552106,0.96755178608223,0.10335864319240012
