method,p,n,trial,sigma,theta,error,error_max,error_min
Debias_ElasticNet,400,100,21,2.0,0.0500332681139948,0.13272841508502325,1.1025006156608492,2.3455938007029053e-05
Debias_Ridge,400,100,21,2.0,0.0500332681139948,0.13816293190953421,1.171927385007416,5.500110780690697e-07
Imputed,400,100,22,2.0,0.0500332681139948,0.12424676881690429,1.840112182540905,1.552869847072637e-06
Classical,400,100,22,2.0,0.0500332681139948,0.2529583530039515,1.7163627569954838,1.495690379453502e-05
PPI_lambda1,400,100,22,2.0,0.0500332681139948,0.13357202264188156,1.8305885205090124,8.271671983684041e-08
PPI_tuned,400,100,22,2.0,0.0500332681139948,0.13357202264188156,1.8305885205090124,8.271671983684041e-08
Debias_Lasso,400,100,22,2.0,0.0500332681139948,0.12425487021565082,1.8379454079195439,6.503919199524166e-07
Debias_ElasticNet,400,100,22,2.0,0.0500332681139948,0.12425487021565082,1.8379454079195439,6.503919199524166e-07
Debias_Ridge,400,100,22,2.0,0.0500332681139948,0.12991856036306257,1.8110350137982176,9.972043984209038e-07
Imputed,400,100,23,2.0,0.0500332681139948,0.1305960698766466,1.2231291075360662,2.027550198236189e-06
Classical,400,100,23,2.0,0.0500332681139948,0.26029842675889797,1.744936635129481,2.6716673619470115e-06
PPI_lambda1,400,100,23,2.0,0.0500332681139948,0.1366192010547425,1.2867898933626416,2.2364182601350813e-07
PPI_tuned,400,100,23,2.0,0.0500332681139948,0.1366192010547425,1.2867898933626416,2.2364182601350813e-07
Debias_Lasso,400,100,23,2.0,0.0500332681139948,0.13229278792218363,1.2692033822914446,1.2761711589790682e-06
Debias_ElasticNet,400,100,23,2.0,0.0500332681139948,0.13229278792218363,1.2692033822914446,1.2761711589790682e-06
Debias_Ridge,400,100,23,2.0,0.0500332681139948,0.13647267502355023,1.2860836310975021,3.700435312053682e-07
Imputed,400,100,24,2.0,0.0500332681139948,0.12742445511383857,1.4344975557525144,1.8906267407193397e-07
Classical,400,100,24,2.0,0.0500332681139948,0.26744369787216066,1.461577806935297,1.5447507517132091e-06
PPI_lambda1,400,100,24,2.0,0.0500332681139948,0.13383161742707844,1.5608950678086009,3.806711207175403e-06
PPI_tuned,400,100,24,2.0,0.0500332681139948,0.13383161742707844,1.5608950678086009,3.806711207175403e-06
Debias_Lasso,400,100,24,2.0,0.0500332681139948,0.12829396741107943,1.4780570232324488,6.780163603695858e-07
Debias_ElasticNet,400,100,24,2.0,0.0500332681139948,0.12829396741107943,1.4780570232324488,6.780163603695858e-07
Debias_Ridge,400,100,24,2.0,0.0500332681139948,0.13163761052246006,1.5291269621206802,6.497731984180929e-08
Imputed,400,100,25,2.0,0.0500332681139948,0.141277589004822,1.5580015080056637,8.922930748826211e-07
Classical,400,100,25,2.0,0.0500332681139948,0.24616066184554655,1.644244558088543,1.800208477923922e-05
PPI_lambda1,400,100,25,2.0,0.0500332681139948,0.146978449897012,1.6536472542071654,8.723277662460237e-09
PPI_tuned,400,100,25,2.0,0.0500332681139948,0.146978449897012,1.6536472542071654,8.723277662460237e-09
Debias_Lasso,400,100,25,2.0,0.0500332681139948,0.14174080344139617,1.5600358995543353,5.6750223409696036e-08
Debias_ElasticNet,400,100,25,2.0,0.0500332681139948,0.14174080344139617,1.5600358995543353,5.6750223409696036e-08
Debias_Ridge,400,100,25,2.0,0.0500332681139948,0.14513854945875215,1.6085167817532091,3.1749995198288995e-08
Imputed,400,100,26,2.0,0.0500332681139948,0.1270674921921786,1.8981833599513103,2.598224264245895e-06
Classical,400,100,26,2.0,0.0500332681139948,0.27459718822830725,1.9231069003518582,5.210436757448798e-07
PPI_lambda1,400,100,26,2.0,0.0500332681139948,0.1295336428488598,1.8558434028147273,1.0519886765416983e-08
PPI_tuned,400,100,26,2.0,0.0500332681139948,0.1295336428488598,1.8558434028147273,1.0519886765416983e-08
Debias_Lasso,400,100,26,2.0,0.0500332681139948,0.12724414294093916,1.8456690687003325,1.5916709085585773e-07
Debias_ElasticNet,400,100,26,2.0,0.0500332681139948,0.12724414294093916,1.8456690687003325,1.5916709085585773e-07
Debias_Ridge,400,100,26,2.0,0.0500332681139948,0.12872895313189953,1.7577795238551992,9.894094455512821e-08
Imputed,400,100,27,2.0,0.0500332681139948,0.12963782580003425,1.949910592444141,2.983845104601324e-06
Classical,400,100,27,2.0,0.0500332681139948,0.26896811396894627,1.5288131007854286,2.9385064122218124e-06
PPI_lambda1,400,100,27,2.0,0.0500332681139948,0.1349622388275368,2.033995421149618,8.512084681044169e-07
PPI_tuned,400,100,27,2.0,0.0500332681139948,0.1349622388275368,2.033995421149618,8.512084681044169e-07
Debias_Lasso,400,100,27,2.0,0.0500332681139948,0.13133993730346433,2.008796826699424,1.7054861150910578e-07
Debias_ElasticNet,400,100,27,2.0,0.0500332681139948,0.13133993730346433,2.008796826699424,1.7054861150910578e-07
Debias_Ridge,400,100,27,2.0,0.0500332681139948,0.13480111122556507,2.0545045014499395,1.6896868724147867e-06
Imputed,400,100,28,2.0,0.0500332681139948,0.12416096399946717,1.4000649919283674,1.1990443900687943e-07
Classical,400,100,28,2.0,0.0500332681139948,0.25647795208115726,1.6828169030820572,1.1634012239805443e-05
PPI_lambda1,400,100,28,2.0,0.0500332681139948,0.12856141824162365,1.529662681999349,5.435844747044689e-07
PPI_tuned,400,100,28,2.0,0.0500332681139948,0.12856141824162365,1.529662681999349,5.435844747044689e-07
Debias_Lasso,400,100,28,2.0,0.0500332681139948,0.12406470235677883,1.4087521298369752,1.3982889034010819e-07
Debias_ElasticNet,400,100,28,2.0,0.0500332681139948,0.12406470235677883,1.4087521298369752,1.3982889034010819e-07
Debias_Ridge,400,100,28,2.0,0.0500332681139948,0.12749693557302133,1.4504200825762465,7.043903603166722e-06
Imputed,400,100,29,2.0,0.0500332681139948,0.12209759567541845,1.3122768887827179,5.570921825218789e-07
Classical,400,100,29,2.0,0.0500332681139948,0.2535566480150968,1.9823274310648031,7.083710411369446e-08
PPI_lambda1,400,100,29,2.0,0.0500332681139948,0.12654851572114514,1.3205533585520508,1.765456367186816e-05
PPI_tuned,400,100,29,2.0,0.0500332681139948,0.12654851572114514,1.3205533585520508,1.765456367186816e-05
Debias_Lasso,400,100,29,2.0,0.0500332681139948,0.12342580783927716,1.2925245085834585,5.219278164550284e-05
Debias_ElasticNet,400,100,29,2.0,0.0500332681139948,0.12342580783927716,1.2925245085834585,5.219278164550284e-05
Debias_Ridge,400,100,29,2.0,0.0500332681139948,0.12774271679302757,1.322455621451082,1.256587449886757e-07
Imputed,500,50,0,2.0,-0.017182540380393064,0.12325983731450033,1.550610393369816,5.899519135108093e-08
Classical,500,50,0,2.0,-0.017182540380393064,0.2955567628796333,1.5929527680874866,6.612183735595418e-06
PPI_lambda1,500,50,0,2.0,-0.017182540380393064,0.12352708053928332,1.5605537399579903,6.62223520727623e-06
PPI_tuned,500,50,0,2.0,-0.017182540380393064,0.12352708053928332,1.5605537399579903,6.62223520727623e-06
Debias_Lasso,500,50,0,2.0,-0.017182540380393064,0.12442907989330683,1.5690826073277406,7.083432237019095e-08
Debias_ElasticNet,500,50,0,2.0,-0.017182540380393064,0.12442907989330683,1.5690826073277406,7.083432237019095e-08
Debias_Ridge,500,50,0,2.0,-0.017182540380393064,0.12498794151694428,1.5309299002453218,7.748708801427204e-08
Imputed,500,50,1,2.0,-0.017182540380393064,0.1181080123731764,1.3209926168549189,1.889799238331178e-06
Classical,500,50,1,2.0,-0.017182540380393064,0.30514828431562263,1.5925888438951254,2.065971647263505e-06
PPI_lambda1,500,50,1,2.0,-0.017182540380393064,0.12000231994798827,1.366744454358518,1.6934521467824526e-06
PPI_tuned,500,50,1,2.0,-0.017182540380393064,0.11700337417321895,1.0753454376691742,5.106659827945779e-06
Debias_Lasso,500,50,1,2.0,-0.017182540380393064,0.11806859977599075,1.339123406790934,5.90555379071732e-06
Debias_ElasticNet,500,50,1,2.0,-0.017182540380393064,0.11806859977599075,1.339123406790934,5.90555379071732e-06
Debias_Ridge,500,50,1,2.0,-0.017182540380393064,0.118448502227871,1.3786984614701707,8.021535840594879e-06
Imputed,500,50,2,2.0,-0.017182540380393064,0.11871834591669464,1.2966511023608278,1.4320832526131283e-08
Classical,500,50,2,2.0,-0.017182540380393064,0.3041161090192628,1.462154699064913,5.728754773847409e-08
PPI_lambda1,500,50,2,2.0,-0.017182540380393064,0.1197512772459359,1.3325778808662594,7.345399593928416e-07
PPI_tuned,500,50,2,2.0,-0.017182540380393064,0.3041161090192628,1.462154699064913,5.728754773847409e-08
Debias_Lasso,500,50,2,2.0,-0.017182540380393064,0.1225083704911615,1.2627582279997327,2.2470890646049038e-10
Debias_ElasticNet,500,50,2,2.0,-0.017182540380393064,0.12264520621777239,1.2638919868111513,2.9135017722592114e-07
Debias_Ridge,500,50,2,2.0,-0.017182540380393064,0.12131931543165894,1.3023598121153352,1.514924450795601e-10
Imputed,500,50,3,2.0,-0.017182540380393064,0.1134383637155785,1.5189058991864404,1.518841068233676e-06
Classical,500,50,3,2.0,-0.017182540380393064,0.30570863302254697,1.830929620849268,1.282182127337665e-08
PPI_lambda1,500,50,3,2.0,-0.017182540380393064,0.11439451663014837,1.5035699553692097,4.0479742786071656e-07
PPI_tuned,500,50,3,2.0,-0.017182540380393064,0.30570863302254697,1.830929620849268,1.282182127337665e-08
Debias_Lasso,500,50,3,2.0,-0.017182540380393064,0.11355568354481915,1.5282955295055731,4.785100276325466e-07
Debias_ElasticNet,500,50,3,2.0,-0.017182540380393064,0.11355568354481915,1.5282955295055731,4.785100276325466e-07
Debias_Ridge,500,50,3,2.0,-0.017182540380393064,0.11408132573435244,1.4952574219409958,1.3354685140584543e-08
Imputed,500,50,4,2.0,-0.017182540380393064,0.1160104730480996,1.547528021523426,9.242532491218931e-07
Classical,500,50,4,2.0,-0.017182540380393064,0.30630539052940753,1.8210399627275748,3.9502607842271137e-08
PPI_lambda1,500,50,4,2.0,-0.017182540380393064,0.11702788528380534,1.5840913009064923,1.7450893682562096e-07
PPI_tuned,500,50,4,2.0,-0.017182540380393064,0.11702788528380534,1.5840913009064923,1.7450893682562096e-07
Debias_Lasso,500,50,4,2.0,-0.017182540380393064,0.11619206399461149,1.549049360390234,7.454354414380143e-07
Debias_ElasticNet,500,50,4,2.0,-0.017182540380393064,0.1161920639946115,1.549049360390234,7.454354414380143e-07
Debias_Ridge,500,50,4,2.0,-0.017182540380393064,0.11702169730342607,1.555287584383997,1.4440993077971111e-06
Imputed,500,50,5,2.0,-0.017182540380393064,0.11994268851539319,1.067872193463391,8.699558570205447e-10
Classical,500,50,5,2.0,-0.017182540380393064,0.29694818598605877,1.7447818907104433,4.943824383958413e-06
PPI_lambda1,500,50,5,2.0,-0.017182540380393064,0.11958920202279746,1.2138504619483441,2.137067527010858e-08
PPI_tuned,500,50,5,2.0,-0.017182540380393064,0.29694818598605877,1.7447818907104433,4.943824383958413e-06
Debias_Lasso,500,50,5,2.0,-0.017182540380393064,0.12077085934022329,1.112816360513682,1.3940802687951212e-07
Debias_ElasticNet,500,50,5,2.0,-0.017182540380393064,0.12077085934022329,1.112816360513682,1.3940802687951212e-07
Debias_Ridge,500,50,5,2.0,-0.017182540380393064,0.12195577341266696,1.2982119552819418,9.86930375514856e-07
Imputed,500,50,6,2.0,-0.017182540380393064,0.11428369293479294,1.374769294335799,2.7664218854658955e-09
Classical,500,50,6,2.0,-0.017182540380393064,0.3114960862669867,1.9355309214364032,3.0438304762246823e-06
PPI_lambda1,500,50,6,2.0,-0.017182540380393064,0.11705582097678796,1.3494048620873,5.70756486906072e-09
PPI_tuned,500,50,6,2.0,-0.017182540380393064,0.3114960862669867,1.9355309214364032,3.0438304762246823e-06
Debias_Lasso,500,50,6,2.0,-0.017182540380393064,0.11485270512632205,1.4437519852365623,5.583372415575051e-07
Debias_ElasticNet,500,50,6,2.0,-0.017182540380393064,0.1165820108665149,1.372974018085479,1.0039139488041922e-05
Debias_Ridge,500,50,6,2.0,-0.017182540380393064,0.11647317867558497,1.40646865839337,2.1943979072571723e-07
Imputed,500,50,7,2.0,-0.017182540380393064,0.12321468839052517,1.5078939156161533,1.1297562602121387e-06
Classical,500,50,7,2.0,-0.017182540380393064,0.29464869154444184,1.5296403092818465,1.0667974818403412e-07
PPI_lambda1,500,50,7,2.0,-0.017182540380393064,0.12416690915301086,1.47413222588194,9.575700867685599e-07
PPI_tuned,500,50,7,2.0,-0.017182540380393064,0.29464869154444184,1.5296403092818465,1.0667974818403412e-07
Debias_Lasso,500,50,7,2.0,-0.017182540380393064,0.12420776783217877,1.4794124057948226,8.067066506392105e-08
Debias_ElasticNet,500,50,7,2.0,-0.017182540380393064,0.12389980528770653,1.4876110133547493,3.6603016705476716e-07
Debias_Ridge,500,50,7,2.0,-0.017182540380393064,0.12310572559826237,1.45614038823698,2.5806509072591567e-08
Imputed,500,50,8,2.0,-0.017182540380393064,0.10965761657829864,0.8882675353983048,1.7882676505250957e-07
Classical,500,50,8,2.0,-0.017182540380393064,0.30399908672672177,1.4118540748124127,1.2749290466426136e-08
PPI_lambda1,500,50,8,2.0,-0.017182540380393064,0.11161129349306881,0.8841407408182558,2.4529242915479104e-06
PPI_tuned,500,50,8,2.0,-0.017182540380393064,0.30399908672672177,1.4118540748124127,1.2749290466426136e-08
Debias_Lasso,500,50,8,2.0,-0.017182540380393064,0.11023519320056054,0.8784736249921822,1.5704879274535538e-07
Debias_ElasticNet,500,50,8,2.0,-0.017182540380393064,0.11023519320056054,0.8784736249921822,1.5704879274535538e-07
Debias_Ridge,500,50,8,2.0,-0.017182540380393064,0.11151187167951722,0.8361252439188053,1.2213196963547801e-06
Imputed,500,50,9,2.0,-0.017182540380393064,0.12566686951375888,0.9536522709346555,8.404989490153203e-07
Classical,500,50,9,2.0,-0.017182540380393064,0.29470541603237843,1.8295099801190036,4.349748525198561e-07
PPI_lambda1,500,50,9,2.0,-0.017182540380393064,0.1258421329314582,0.8929843278220986,1.3138194541356504e-07
PPI_tuned,500,50,9,2.0,-0.017182540380393064,0.29470541603237843,1.8295099801190036,4.349748525198561e-07
Debias_Lasso,500,50,9,2.0,-0.017182540380393064,0.12755267840660078,0.9062377842283921,1.944497387300031e-07
Debias_ElasticNet,500,50,9,2.0,-0.017182540380393064,0.12726224369697603,0.9006649625389225,6.213996160726183e-07
Debias_Ridge,500,50,9,2.0,-0.017182540380393064,0.1260189856721111,0.8651569886185777,1.428709605688243e-06
Imputed,500,50,10,2.0,-0.017182540380393064,0.12538392990621147,1.1180795019400604,1.1319758204131146e-07
Classical,500,50,10,2.0,-0.017182540380393064,0.3030251127839872,2.5263264762380326,1.8058604644670658e-07
PPI_lambda1,500,50,10,2.0,-0.017182540380393064,0.12645742063789348,1.1188474785772986,5.75462451750199e-07
PPI_tuned,500,50,10,2.0,-0.017182540380393064,0.12645742063789348,1.1188474785772986,5.75462451750199e-07
Debias_Lasso,500,50,10,2.0,-0.017182540380393064,0.1285352657288491,0.9984121455582943,8.687640646842497e-07
Debias_ElasticNet,500,50,10,2.0,-0.017182540380393064,0.1279843702947955,1.0285863053610436,6.80303252886238e-07
Debias_Ridge,500,50,10,2.0,-0.017182540380393064,0.12670539594875502,1.1129789397168115,1.392700913693027e-05
Imputed,500,50,11,2.0,-0.017182540380393064,0.1194574162158974,1.1663300104115866,9.875941069499502e-08
Classical,500,50,11,2.0,-0.017182540380393064,0.3017120828881336,1.7319541708196988,2.019997853665243e-06
PPI_lambda1,500,50,11,2.0,-0.017182540380393064,0.11971792318790944,1.145358482084848,8.533796852882437e-10
PPI_tuned,500,50,11,2.0,-0.017182540380393064,0.11971792318790944,1.145358482084848,8.533796852882437e-10
Debias_Lasso,500,50,11,2.0,-0.017182540380393064,0.11959407542503236,1.157715103666503,2.2640675168204773e-07
Debias_ElasticNet,500,50,11,2.0,-0.017182540380393064,0.11959407542503236,1.157715103666503,2.2640675168204773e-07
Debias_Ridge,500,50,11,2.0,-0.017182540380393064,0.11990687342841451,1.145354043125185,2.1973257413048637e-07
Imputed,500,50,12,2.0,-0.017182540380393064,0.12034483013195225,1.1467151142507646,1.2437835699086695e-07
Classical,500,50,12,2.0,-0.017182540380393064,0.29942350326359934,1.6478037313454486,9.303128071654607e-08
PPI_lambda1,500,50,12,2.0,-0.017182540380393064,0.1209949488260793,1.0683118674142686,1.4773433637861741e-06
PPI_tuned,500,50,12,2.0,-0.017182540380393064,0.1209949488260793,1.0683118674142686,1.4773433637861741e-06
Debias_Lasso,500,50,12,2.0,-0.017182540380393064,0.12371613233193962,1.3055361643880221,8.240430482758315e-09
Debias_ElasticNet,500,50,12,2.0,-0.017182540380393064,0.12387148985563885,1.3043301658426565,1.4623228996576939e-06
Debias_Ridge,500,50,12,2.0,-0.017182540380393064,0.12410505965175359,1.2221141019393693,1.438015281975623e-07
Imputed,500,50,13,2.0,-0.017182540380393064,0.11570028417388147,1.0366483095774097,2.480519805855972e-06
Classical,500,50,13,2.0,-0.017182540380393064,0.30028096977128815,1.4744069359121759,1.2542825503561698e-05
PPI_lambda1,500,50,13,2.0,-0.017182540380393064,0.1160686732941141,0.9652790134813598,5.425256099503636e-07
PPI_tuned,500,50,13,2.0,-0.017182540380393064,0.1160686732941141,0.9652790134813598,5.425256099503636e-07
Debias_Lasso,500,50,13,2.0,-0.017182540380393064,0.11625134115284907,1.029898315313302,4.097013079476309e-08
Debias_ElasticNet,500,50,13,2.0,-0.017182540380393064,0.11625134115284907,1.029898315313302,4.097013079476309e-08
Debias_Ridge,500,50,13,2.0,-0.017182540380393064,0.11588941765814277,0.9578673314294525,8.98170258661173e-07
Imputed,500,50,14,2.0,-0.017182540380393064,0.11406486028021857,0.784300391868282,3.3940544193833868e-06
Classical,500,50,14,2.0,-0.017182540380393064,0.307868315486622,1.4055774411884872,9.711786341385097e-08
PPI_lambda1,500,50,14,2.0,-0.017182540380393064,0.11539258614378861,0.779895941792825,8.141247749483266e-08
PPI_tuned,500,50,14,2.0,-0.017182540380393064,0.28624072543127854,1.281557402316946,4.2232749877914e-06
Debias_Lasso,500,50,14,2.0,-0.017182540380393064,0.11429946353693779,0.794412590942497,5.818894398953138e-07
Debias_ElasticNet,500,50,14,2.0,-0.017182540380393064,0.11429606249294613,0.7891495049500616,2.015176763027867e-07
Debias_Ridge,500,50,14,2.0,-0.017182540380393064,0.11497904853852069,0.7787171591681163,5.0642290679763764e-08
Imputed,500,50,15,2.0,-0.017182540380393064,0.11570673684975111,1.4605979652761885,8.371817540456628e-07
Classical,500,50,15,2.0,-0.017182540380393064,0.29685531216299105,1.4268506232726703,0.0001067264437596255
PPI_lambda1,500,50,15,2.0,-0.017182540380393064,0.11660369960491683,1.5283145219932368,1.291639925211748e-07
PPI_tuned,500,50,15,2.0,-0.017182540380393064,0.29685531216299105,1.4268506232726703,0.0001067264437596255
Debias_Lasso,500,50,15,2.0,-0.017182540380393064,0.11625558313402702,1.460787706370037,1.0465663078264921e-07
Debias_ElasticNet,500,50,15,2.0,-0.017182540380393064,0.11613631745639062,1.4662241628658437,2.173636003681003e-06
Debias_Ridge,500,50,15,2.0,-0.017182540380393064,0.11674410829860642,1.5261568722758019,6.59772463879984e-07
Imputed,500,50,16,2.0,-0.017182540380393064,0.1254410848954345,0.9479412871684123,7.492144506940544e-08
Classical,500,50,16,2.0,-0.017182540380393064,0.2948895002572062,2.0068081340791815,9.74880764882248e-06
PPI_lambda1,500,50,16,2.0,-0.017182540380393064,0.12598575654715707,0.9585412624317821,1.3438391887545378e-09
PPI_tuned,500,50,16,2.0,-0.017182540380393064,0.12105609284221894,0.8818237469890384,8.65787748739389e-10
Debias_Lasso,500,50,16,2.0,-0.017182540380393064,0.12543019672892608,0.957692975274482,1.1762316160060688e-06
Debias_ElasticNet,500,50,16,2.0,-0.017182540380393064,0.12543019672892608,0.957692975274482,1.1762316160065503e-06
Debias_Ridge,500,50,16,2.0,-0.017182540380393064,0.12567098518244138,0.9745393460755776,3.1334102608506874e-11
Imputed,500,50,17,2.0,-0.017182540380393064,0.11226533050064172,1.3543631913612142,6.259404133937201e-08
Classical,500,50,17,2.0,-0.017182540380393064,0.3077766848169535,1.754959860084046,1.6358501844983585e-08
PPI_lambda1,500,50,17,2.0,-0.017182540380393064,0.11364812257511546,1.3136091824920033,1.0569115963672458e-10
PPI_tuned,500,50,17,2.0,-0.017182540380393064,0.3077766848169535,1.754959860084046,1.6358501844983585e-08
Debias_Lasso,500,50,17,2.0,-0.017182540380393064,0.11258277017129596,1.3915302711890056,8.427019785841527e-07
Debias_ElasticNet,500,50,17,2.0,-0.017182540380393064,0.11235252583434494,1.3728537832137933,4.867968553217766e-08
Debias_Ridge,500,50,17,2.0,-0.017182540380393064,0.11282387321805037,1.336333982677942,1.6187076406143833e-06
Imputed,500,50,18,2.0,-0.017182540380393064,0.12115416561666689,1.0970101683788585,3.711000487561956e-06
Classical,500,50,18,2.0,-0.017182540380393064,0.29182155588329994,1.7864787215242723,1.8386984037640285e-06
PPI_lambda1,500,50,18,2.0,-0.017182540380393064,0.12142769980119733,1.1890646480873888,6.7778865980242e-07
PPI_tuned,500,50,18,2.0,-0.017182540380393064,0.12142769980119733,1.1890646480873888,6.7778865980242e-07
Debias_Lasso,500,50,18,2.0,-0.017182540380393064,0.12135523674752141,1.0607855306879759,9.856386373562525e-08
Debias_ElasticNet,500,50,18,2.0,-0.017182540380393064,0.12121566739876327,1.0756447405782121,2.0036940138936267e-06
Debias_Ridge,500,50,18,2.0,-0.017182540380393064,0.12188156191950963,1.1624664966671556,3.5428142018865355e-06
Imputed,500,50,19,2.0,-0.017182540380393064,0.11635700868577115,1.2043860191662974,2.4126111332406544e-06
Classical,500,50,19,2.0,-0.017182540380393064,0.2922084535385439,1.8435066138476093,4.3694935785766517e-07
PPI_lambda1,500,50,19,2.0,-0.017182540380393064,0.11681142732176543,1.2125580745660374,2.057863059847445e-06
PPI_tuned,500,50,19,2.0,-0.017182540380393064,0.11681142732176543,1.2125580745660374,2.057863059847445e-06
Debias_Lasso,500,50,19,2.0,-0.017182540380393064,0.1178528667091414,1.2298648781871566,3.0026756378232898e-09
Debias_ElasticNet,500,50,19,2.0,-0.017182540380393064,0.1178528667091414,1.2298648781871566,3.0026756378232898e-09
Debias_Ridge,500,50,19,2.0,-0.017182540380393064,0.11789808989782688,1.221554298386468,1.3698883292615872e-07
Imputed,500,50,20,2.0,-0.017182540380393064,0.11438478100150679,1.1572896767451963,2.105487032523021e-06
Classical,500,50,20,2.0,-0.017182540380393064,0.3050964820540173,1.5872003525124725,1.340427971083286e-05
PPI_lambda1,500,50,20,2.0,-0.017182540380393064,0.11464021106755766,1.0631402948563287,4.241958853582897e-06
PPI_tuned,500,50,20,2.0,-0.017182540380393064,0.3050964820540173,1.5872003525124725,1.340427971083286e-05
Debias_Lasso,500,50,20,2.0,-0.017182540380393064,0.11703523225514668,1.096927098204064,1.7916782971507807e-07
Debias_ElasticNet,500,50,20,2.0,-0.017182540380393064,0.11651586996254581,1.127702343680691,8.302473109291494e-08
Debias_Ridge,500,50,20,2.0,-0.017182540380393064,0.11533311608057051,1.0933789267306877,3.3619233462724928e-06
Imputed,500,50,21,2.0,-0.017182540380393064,0.12488662614050262,1.2403596663062142,2.8839100698848237e-07
Classical,500,50,21,2.0,-0.017182540380393064,0.30311550171420354,1.6870534313138223,6.035255674819719e-06
PPI_lambda1,500,50,21,2.0,-0.017182540380393064,0.12640511930159776,1.2299015673902172,1.0374050577454231e-06
PPI_tuned,500,50,21,2.0,-0.017182540380393064,0.12640511930159776,1.2299015673902172,1.0374050577454231e-06
Debias_Lasso,500,50,21,2.0,-0.017182540380393064,0.1247737472183421,1.235525200741603,3.10074210945756e-06
Debias_ElasticNet,500,50,21,2.0,-0.017182540380393064,0.12479231368400572,1.2365634159771104,4.112589289616756e-06
Debias_Ridge,500,50,21,2.0,-0.017182540380393064,0.12526864376682656,1.2828549073579,3.5792741344772084e-08
Imputed,500,50,22,2.0,-0.017182540380393064,0.11867128065291004,1.0457981426864926,5.172295701340152e-06
Classical,500,50,22,2.0,-0.017182540380393064,0.2952736735059895,1.550036088699376,8.90902270899644e-08
PPI_lambda1,500,50,22,2.0,-0.017182540380393064,0.1199712451024619,1.0821910934658159,2.5840698255370126e-07
PPI_tuned,500,50,22,2.0,-0.017182540380393064,0.2952736735059895,1.550036088699376,8.90902270899644e-08
Debias_Lasso,500,50,22,2.0,-0.017182540380393064,0.11883998237071276,1.053085711063994,4.788229718517561e-09
Debias_ElasticNet,500,50,22,2.0,-0.017182540380393064,0.11882267176028681,1.0532612741517346,3.5969686701564617e-07
Debias_Ridge,500,50,22,2.0,-0.017182540380393064,0.11900335882491274,1.0826101291288701,4.235784225846209e-06
Imputed,500,50,23,2.0,-0.017182540380393064,0.11540646402597232,1.511695353690463,3.6060668274680373e-07
Classical,500,50,23,2.0,-0.017182540380393064,0.2958714800843497,1.48442217519406,8.683605334116752e-06
PPI_lambda1,500,50,23,2.0,-0.017182540380393064,0.11686471255836599,1.7198142440819872,3.947780008877607e-08
PPI_tuned,500,50,23,2.0,-0.017182540380393064,0.2958714800843497,1.48442217519406,8.683605334116752e-06
Debias_Lasso,500,50,23,2.0,-0.017182540380393064,0.11512984999689801,1.5227234060562207,2.7512801312889194e-07
Debias_ElasticNet,500,50,23,2.0,-0.017182540380393064,0.11505626219554319,1.5208556674908935,1.529489637516972e-06
Debias_Ridge,500,50,23,2.0,-0.017182540380393064,0.11581598048292771,1.7190814555333505,8.506366214452484e-08
Imputed,500,50,24,2.0,-0.017182540380393064,0.1218313797927986,1.1045531271476985,1.6546364560784338e-07
Classical,500,50,24,2.0,-0.017182540380393064,0.29977749045227314,1.8571448938347472,3.8154984465797515e-06
PPI_lambda1,500,50,24,2.0,-0.017182540380393064,0.12334106045798428,1.111771221935487,1.7616453538401231e-06
PPI_tuned,500,50,24,2.0,-0.017182540380393064,0.17227242000350804,1.1604562124827171,9.505922844804678e-07
Debias_Lasso,500,50,24,2.0,-0.017182540380393064,0.12187374351164999,1.0999406372946121,1.117902456262336e-06
Debias_ElasticNet,500,50,24,2.0,-0.017182540380393064,0.12187374351164999,1.0999406372946121,1.117902456262336e-06
Debias_Ridge,500,50,24,2.0,-0.017182540380393064,0.12241191922062691,1.094014583909867,3.83976860676224e-06
Imputed,500,50,25,2.0,-0.017182540380393064,0.1153668360443679,0.9464802302356964,3.427754991918582e-10
Classical,500,50,25,2.0,-0.017182540380393064,0.3047883838078023,1.29453863451944,9.04979205850244e-07
PPI_lambda1,500,50,25,2.0,-0.017182540380393064,0.11628140159754001,0.9538333755103623,1.0288114974517189e-08
PPI_tuned,500,50,25,2.0,-0.017182540380393064,0.3047883838078023,1.29453863451944,9.04979205850244e-07
Debias_Lasso,500,50,25,2.0,-0.017182540380393064,0.11531987515439383,0.9588973703121438,4.643667312247712e-06
Debias_ElasticNet,500,50,25,2.0,-0.017182540380393064,0.11531987515439382,0.9588973703121436,4.643667312247712e-06
Debias_Ridge,500,50,25,2.0,-0.017182540380393064,0.11597917943539619,0.9580575448667552,9.868301789533773e-07
Imputed,500,50,26,2.0,-0.017182540380393064,0.11361221314503325,1.3749174029872828,1.0733774644711685e-07
Classical,500,50,26,2.0,-0.017182540380393064,0.30684813036322883,1.746978842263982,3.6570791765013892e-06
PPI_lambda1,500,50,26,2.0,-0.017182540380393064,0.11406847193301516,1.3242560684185172,1.6677370336973228e-07
PPI_tuned,500,50,26,2.0,-0.017182540380393064,0.30684813036322883,1.746978842263982,3.6570791765013892e-06
Debias_Lasso,500,50,26,2.0,-0.017182540380393064,0.1144992303558669,1.3471827764946018,1.2046313220266887e-06
Debias_ElasticNet,500,50,26,2.0,-0.017182540380393064,0.11444813660840301,1.3412549047527884,1.9698268383503645e-09
