method,p,n,N,trial,sigma,beta,theta,error,error_max,error_min
Debias_Lasso,2,50,1500,26,0.01,0,-0.482903564,9.80E-05,0.000166094,2.99E-05
Debias_ElasticNet,2,50,1500,26,0.01,0,-0.482903564,9.80E-05,0.000166094,2.99E-05
Debias_Ridge,2,50,1500,26,0.01,0,-0.482903564,9.22E-05,0.000157708,2.67E-05
Imputed,2,50,1500,27,0.01,0,-0.482903564,9.29E-05,0.000146266,3.96E-05
Classical,2,50,1500,27,0.01,0,-0.482903564,0.005480974,0.010961731,2.18E-07
PPI_lambda1,2,50,1500,27,0.01,0,-0.482903564,0.000143999,0.000224788,6.32E-05
PPI_tuned,2,50,1500,27,0.01,0,-0.482903564,0.001537645,0.003057913,1.74E-05
Debias_Lasso,2,50,1500,27,0.01,0,-0.482903564,0.000135088,0.000214222,5.60E-05
Debias_ElasticNet,2,50,1500,27,0.01,0,-0.482903564,0.000135073,0.000214199,5.59E-05
Debias_Ridge,2,50,1500,27,0.01,0,-0.482903564,0.000133984,0.000209625,5.83E-05
Imputed,2,50,1500,28,0.01,0,-0.482903564,7.01E-05,0.000138065,2.05E-06
Classical,2,50,1500,28,0.01,0,-0.482903564,0.053231292,0.098305605,0.00815698
PPI_lambda1,2,50,1500,28,0.01,0,-0.482903564,6.52E-05,0.000127156,3.22E-06
PPI_tuned,2,50,1500,28,0.01,0,-0.482903564,6.52E-05,0.000127156,3.22E-06
Debias_Lasso,2,50,1500,28,0.01,0,-0.482903564,6.99E-05,0.000137841,2.04E-06
Debias_ElasticNet,2,50,1500,28,0.01,0,-0.482903564,6.99E-05,0.000137841,2.04E-06
Debias_Ridge,2,50,1500,28,0.01,0,-0.482903564,6.61E-05,0.000128948,3.30E-06
Imputed,2,50,1500,29,0.01,0,-0.482903564,0.000177668,0.000350866,4.47E-06
Classical,2,50,1500,29,0.01,0,-0.482903564,0.008902459,0.014228127,0.003576791
PPI_lambda1,2,50,1500,29,0.01,0,-0.482903564,0.00018335,0.000361739,4.96E-06
PPI_tuned,2,50,1500,29,0.01,0,-0.482903564,0.001639812,0.003009834,0.00026979
Debias_Lasso,2,50,1500,29,0.01,0,-0.482903564,0.000178385,0.0003524,4.37E-06
Debias_ElasticNet,2,50,1500,29,0.01,0,-0.482903564,0.000178385,0.0003524,4.37E-06
Debias_Ridge,2,50,1500,29,0.01,0,-0.482903564,0.000184123,0.000363907,4.34E-06
Imputed,2,100,1500,0,0.01,0,-0.482903564,0.000242336,0.000378542,0.000106129
Classical,2,100,1500,0,0.01,0,-0.482903564,0.002330577,0.002735143,0.001926011
PPI_lambda1,2,100,1500,0,0.01,0,-0.482903564,0.000233115,0.000357484,0.000108745
PPI_tuned,2,100,1500,0,0.01,0,-0.482903564,0.000233115,0.000357484,0.000108745
Debias_Lasso,2,100,1500,0,0.01,0,-0.482903564,0.000242057,0.000377746,0.000106367
Debias_ElasticNet,2,100,1500,0,0.01,0,-0.482903564,0.000242057,0.000377746,0.000106367
Debias_Ridge,2,100,1500,0,0.01,0,-0.482903564,0.000235236,0.00036254,0.000107932
Imputed,2,100,1500,1,0.01,0,-0.482903564,0.000314667,0.000613246,1.61E-05
Classical,2,100,1500,1,0.01,0,-0.482903564,0.00947257,0.017678468,0.001266671
PPI_lambda1,2,100,1500,1,0.01,0,-0.482903564,0.000304528,0.000598155,1.09E-05
PPI_tuned,2,100,1500,1,0.01,0,-0.482903564,5.83E-05,8.85E-05,2.82E-05
Debias_Lasso,2,100,1500,1,0.01,0,-0.482903564,0.000314565,0.00061302,1.61E-05
Debias_ElasticNet,2,100,1500,1,0.01,0,-0.482903564,0.000314565,0.00061302,1.61E-05
Debias_Ridge,2,100,1500,1,0.01,0,-0.482903564,0.000305457,0.000599551,1.14E-05
Imputed,2,100,1500,2,0.01,0,-0.482903564,0.000261893,0.000449169,7.46E-05
Classical,2,100,1500,2,0.01,0,-0.482903564,0.002464096,0.004072325,0.000855868
PPI_lambda1,2,100,1500,2,0.01,0,-0.482903564,0.000278315,0.000477687,7.89E-05
PPI_tuned,2,100,1500,2,0.01,0,-0.482903564,0.000278315,0.000477687,7.89E-05
Debias_Lasso,2,100,1500,2,0.01,0,-0.482903564,0.000261013,0.000447269,7.48E-05
Debias_ElasticNet,2,100,1500,2,0.01,0,-0.482903564,0.000261013,0.000447269,7.48E-05
Debias_Ridge,2,100,1500,2,0.01,0,-0.482903564,0.000273181,0.000470964,7.54E-05
Imputed,2,100,1500,3,0.01,0,-0.482903564,0.000232637,0.000323354,0.00014192
Classical,2,100,1500,3,0.01,0,-0.482903564,0.002103839,0.003907106,0.000300572
